yaw_angle,Time(s),rotor power (W)
270,20250.102301,2032300.75908
270,20250.152301,2069857.95667
270,20250.202301,2057993.67628
270,20250.252301,2062598.65128
270,20250.302301,1981885.72889
270,20250.352301,1912060.73244
270,20250.402301,2090867.71224
270,20250.452301,2126843.23893
270,20250.502301,2184114.14974
270,20250.552301,2091818.33494
270,20250.602301,1992335.94221
270,20250.652301,1970915.4711
270,20250.702301,1973933.54533
270,20250.752301,1990066.87057
270,20250.802301,2092954.06292
270,20250.852301,2161210.10357
270,20250.902301,2123292.20463
270,20250.952301,2247377.56151
270,20251.002301,2174474.95256
270,20251.052301,2114832.14386
270,20251.102301,2148372.21916
270,20251.152301,2208473.62347
270,20251.202301,2174464.4728
270,20251.252301,2112242.77527
270,20251.302301,2044806.11914
270,20251.352301,2031878.22838
270,20251.402301,2101232.33166
270,20251.452301,2084016.39962
270,20251.502301,2199165.23431
270,20251.552301,2142706.46339
270,20251.602301,2143805.2131
270,20251.652301,2157000.78255
270,20251.702301,2082431.79033
270,20251.752301,2082892.06077
270,20251.802301,2097725.47311
270,20251.852301,2099153.38743
270,20251.902301,2072691.56672
270,20251.952301,2076750.47227
270,20252.002301,2074021.44345
270,20252.052301,2228200.89306
270,20252.102301,2179518.09656
270,20252.152301,2173666.19241
270,20252.202301,2116310.90088
270,20252.252301,2117074.21388
270,20252.302301,2141479.86084
270,20252.352301,2152376.08062
270,20252.402301,2197780.47429
270,20252.452301,2176394.77912
270,20252.502301,2095211.43159
270,20252.552301,2074234.3672
270,20252.602301,2276746.35501
270,20252.652301,2269591.87188
270,20252.702301,2297676.07463
270,20252.752301,2229510.34347
270,20252.802301,2147425.52796
270,20252.852301,2122751.70218
270,20252.902301,2118694.41285
270,20255.8336781,2094343.53307
270,20342.6901407,1467920.61902
270,20430.9823053,1416482.03484
270,20520.5483985,1195221.62918
270,20522.802301,685454.737195
270,20522.852301,654627.985796
270,20522.902301,523434.122226
270,20522.952301,608386.997829
270,20523.002301,946776.177023
270,20523.052301,1352182.573
270,20523.102301,1635356.91431
270,20523.152301,1715478.47929
270,20523.202301,1673127.87559
270,20523.252301,1547436.43407
270,20523.302301,1472007.39556
270,20523.352301,1356943.44377
270,20523.402301,1425506.06447
270,20523.452301,1381354.48241
270,20523.502301,1416759.60708
270,20523.552301,1481754.54706
270,20523.602301,1470887.3325
270,20523.652301,1454485.93752
270,20523.702301,1512965.22746
270,20523.752301,1575670.66431
270,20523.802301,1550607.2553
270,20523.852301,1581516.13341
270,20523.902301,1536443.80174
270,20523.952301,1554106.63732
270,20524.002301,1444767.54454
270,20524.052301,1472097.95926
270,20524.102301,1536573.1999
270,20524.152301,1565203.39541
270,20524.202301,1528597.08589
270,20524.252301,1458506.78261
270,20524.302301,1400345.26993
270,20524.352301,1361784.11719
270,20524.402301,1386420.8253
270,20524.452301,1390808.02833
270,20524.502301,1599623.89522
270,20524.552301,1576382.52794
270,20524.602301,1489305.23926
270,20524.652301,1367459.03626
270,20524.702301,1311161.20953
270,20524.752301,1318779.4281
270,20524.802301,1341963.10537
270,20524.852301,1296445.02408
270,20524.902301,1245844.02981
270,20524.952301,1138375.49237
270,20525.002301,988706.320271
270,20525.052301,969217.481342
270,20525.102301,969561.128226
270,20525.152301,1146938.81557
270,20525.202301,1260989.91355
270,20525.252301,1212896.99677
270,20525.302301,1156597.82726
270,20525.352301,1162677.31449
270,20525.402301,1211972.60369
270,20525.452301,1267535.60754
270,20525.502301,1298478.41311
270,20525.552301,1282763.42967
270,20525.602301,1360046.4652
270,20525.652301,1361895.23304
270,20525.702301,1422283.76312
270,20525.752301,1423089.57937
270,20525.802301,1414359.77616
270,20525.852301,1433853.52765
270,20525.902301,1380782.63831
270,20525.952301,1313925.95945
270,20526.002301,1311998.31374
270,20526.052301,1347908.9029
270,20526.102301,1335714.97805
270,20526.152301,1452733.8439
270,20526.202301,1420881.3066
270,20526.252301,1381511.26621
270,20526.302301,1312292.70805
270,20526.352301,1262769.58821
270,20526.402301,1257427.90061
270,20526.452301,1245974.21671
270,20526.502301,1249091.81054
270,20526.552301,1222541.97961
270,20526.602301,1181830.78817
270,20526.652301,1165551.59684
270,20526.702301,1293883.99394
270,20526.752301,1256400.33278
270,20526.802301,1235790.02779
270,20526.852301,1200771.73059
270,20526.902301,1174995.03868
270,20526.952301,1216900.79174
270,20527.002301,1207777.937
270,20527.052301,1152238.57625
270,20527.102301,1113370.63463
270,20527.152301,1132463.70355
270,20527.202301,1147655.79184
270,20527.252301,1238274.63606
270,20527.302301,1253405.63104
270,20527.352301,1288975.90667
270,20527.402301,1272896.65938
270,20527.452301,1244316.52117
270,20527.502301,1242994.11022
270,20527.552301,1249373.66999
270,20527.602301,1235061.22376
270,20527.652301,1239794.39834
270,20527.702301,1269126.30809
270,20527.752301,1213488.51073
270,20527.802301,1270257.14373
270,20527.852301,1265784.52214
270,20527.902301,1300799.01297
270,20527.952301,1346532.57394
270,20528.002301,1327708.91833
270,20528.052301,1295636.66564
270,20528.102301,1295128.97686
270,20528.152301,1300448.67633
270,20528.202301,1325421.14147
270,20528.252301,1368766.13637
270,20528.302301,1338234.25704
270,20528.352301,1274172.11342
270,20528.402301,1290814.58287
270,20528.452301,1197090.24378
270,20528.502301,1199681.9667
270,20528.552301,1206280.56727
270,20528.602301,1207544.7245
270,20528.652301,1256554.60196
270,20528.702301,1288629.6158
270,20528.752301,1265479.91402
270,20528.802301,1238121.0376
270,20528.852301,1251027.15003
270,20528.902301,1195309.63369
270,20528.952301,1219675.07259
270,20529.002301,1127235.0771
270,20529.052301,1123907.22919
270,20529.102301,1165500.38338
270,20529.152301,1165025.76661
270,20529.202301,1211568.89113
270,20529.252301,1255731.05534
270,20529.302301,1221376.58652
270,20529.352301,1205148.55467
270,20529.402301,1165817.55743
270,20529.452301,1088453.5263
270,20529.502301,1021073.91386
270,20529.552301,1102633.63587
270,20529.602301,1063682.80941
270,20529.652301,1113506.3583
270,20529.702301,1166995.43859
270,20529.752301,1231480.08833
270,20529.802301,1285686.25412
270,20529.852301,1319699.47053
270,20529.902301,1296137.86811
270,20529.952301,1271816.46614
270,20530.002301,1256668.54938
270,20530.052301,1197662.47229
270,20530.102301,1275965.86316
270,20530.152301,1219776.23156
270,20530.202301,1174211.33979
270,20530.252301,1186638.44061
270,20530.302301,1228759.22677
270,20530.352301,1231990.89715
270,20530.402301,1242618.23257
270,20530.452301,1232045.28858
270,20530.502301,1227769.90199
270,20530.552301,1242510.83113
270,20530.602301,1234033.71785
270,20530.652301,1193704.45552
270,20530.702301,1260845.93693
270,20530.752301,1183725.02474
270,20530.802301,1197009.61452
270,20530.852301,1219891.70357
270,20530.902301,1239576.7319
270,20530.952301,1226267.79934
270,20531.002301,1212331.54438
270,20531.052301,1157775.61992
270,20531.102301,1134203.92922
270,20531.152301,1187130.36416
270,20531.202301,1185853.50477
270,20531.252301,1153336.9692
270,20531.302301,1142042.33224
270,20531.352301,1096763.49338
270,20531.402301,1099858.68253
270,20531.452301,1093983.25427
270,20531.502301,1097348.0626
270,20531.552301,1131740.1296
270,20531.602301,1141603.41959
270,20531.652301,1144236.37714
270,20531.702301,1156771.78201
270,20531.752301,1171229.09935
270,20531.802301,1122991.57278
270,20531.852301,1164411.65686
270,20531.902301,1076197.82577
270,20531.952301,1064864.92297
270,20532.002301,1076570.68313
270,20532.052301,1106801.98136
270,20532.102301,1105664.84285
270,20532.152301,1130638.71728
270,20532.202301,1157668.76293
270,20532.252301,1162908.65641
270,20532.302301,1181781.95316
270,20532.352301,1152803.35762
270,20532.402301,1128930.04773
270,20532.452301,1237418.53942
270,20532.502301,1181788.61725
270,20532.552301,1174866.2865
270,20532.602301,1164838.36284
270,20532.652301,1164215.15442
270,20532.702301,1173066.74399
270,20532.752301,1210550.04041
270,20532.802301,1184090.67614
270,20532.852301,1156474.57672
270,20532.902301,1190830.97246
270,20532.952301,1198424.13808
270,20533.002301,1181018.17134
270,20533.052301,1284662.85346
270,20533.102301,1244720.42908
270,20533.152301,1360321.13327
270,20533.202301,1347630.68715
270,20533.252301,1301243.5333
270,20533.302301,1217716.77414
270,20533.352301,1154861.84464
270,20533.402301,1111924.73369
270,20533.452301,1118204.98622
270,20533.502301,1143311.84058
270,20533.552301,1110611.17843
270,20533.602301,1068325.88675
270,20533.652301,1094034.03985
270,20533.702301,1089485.09369
270,20533.752301,1128451.72526
270,20533.802301,1140650.46607
270,20533.852301,1165489.53135
270,20533.902301,1164413.55292
270,20533.952301,1088307.59027
270,20534.002301,1032141.99333
270,20534.052301,997333.83928
270,20534.102301,1037469.08709
270,20534.152301,1032851.91913
270,20534.202301,1078337.94297
270,20534.252301,1024259.38464
270,20534.302301,1014872.29073
270,20534.352301,1000505.54609
270,20534.402301,999128.599014
270,20534.452301,1028018.10613
270,20534.502301,1084913.30068
270,20534.552301,1133066.28333
270,20534.602301,1172760.5117
270,20534.652301,1165641.63582
270,20534.702301,1173722.96976
270,20534.752301,1170795.06886
270,20534.802301,1267264.45391
270,20534.852301,1221549.61347
270,20534.902301,1225674.37045
270,20534.952301,1198855.50479
270,20535.002301,1173762.44089
270,20535.052301,1156672.03905
270,20535.102301,1208644.84388
270,20535.152301,1230208.16515
270,20535.202301,1223689.47989
270,20535.252301,1267405.27861
270,20535.302301,1294232.10689
270,20535.352301,1282313.62766
270,20535.402301,1293732.16763
270,20535.452301,1239385.923
270,20535.502301,1251539.12968
270,20535.552301,1251047.56123
270,20535.602301,1278669.36658
270,20535.652301,1268472.77516
270,20535.702301,1254324.68579
270,20535.752301,1207479.10658
270,20535.802301,1193706.70963
270,20535.852301,1166539.06509
270,20535.902301,1154045.08696
270,20535.952301,1111923.97158
270,20536.002301,1134412.87024
270,20536.052301,1096387.17284
270,20536.102301,1107376.05722
270,20536.152301,1109689.00917
270,20536.202301,1137975.69212
270,20536.252301,1130104.72034
270,20536.302301,1083796.28456
270,20536.352301,1007951.53052
270,20536.402301,976725.009853
270,20536.452301,978940.563616
270,20536.502301,972921.800662
270,20536.552301,956934.631932
270,20536.602301,1014912.88863
270,20536.652301,958995.725175
270,20536.702301,967336.654345
270,20536.752301,974348.644077
270,20536.802301,1011716.79643
270,20536.852301,1065027.23853
270,20536.902301,1126505.94291
270,20536.952301,1200643.37748
270,20537.002301,1248447.99759
270,20537.052301,1273974.19982
270,20537.102301,1236246.89696
270,20537.152301,1269170.76822
270,20537.202301,1207297.70848
270,20537.252301,1185311.36005
270,20537.302301,1239232.80026
270,20537.352301,1229261.85831
270,20537.402301,1201133.80708
270,20537.452301,1193859.85858
270,20537.502301,1235205.5203
270,20537.552301,1253100.45408
270,20537.602301,1273465.81917
270,20537.652301,1294857.06762
270,20537.702301,1252632.09245
270,20537.752301,1370513.31375
270,20537.802301,1286874.88235
270,20537.852301,1222969.74089
270,20537.902301,1191490.38059
270,20537.952301,1161997.55877
270,20538.002301,1155182.07049
270,20538.052301,1137857.43222
270,20538.102301,1150036.04083
